replicate,rank,top-1320 model,top-1320 acquired
1,0,0.01893939393939394,0.0
1,1,0.04924242424242424,0.0
1,2,0.012878787878787878,0.0007575757575757576
1,3,0.012878787878787878,0.0007575757575757576
1,4,0.00909090909090909,0.0007575757575757576
1,5,0.030303030303030304,0.0007575757575757576
2,0,0.0022727272727272726,0.0
2,1,0.005303030303030303,0.0
2,2,0.004545454545454545,0.0
2,3,0.005303030303030303,0.0
2,4,0.02878787878787879,0.0
2,5,0.04318181818181818,0.0015151515151515152
3,0,0.022727272727272728,0.0
3,1,0.0,0.0
3,2,0.01893939393939394,0.0
3,3,0.06287878787878788,0.0007575757575757576
3,4,0.07196969696969698,0.0007575757575757576
3,5,0.07424242424242425,0.0022727272727272726
4,0,0.012878787878787878,0.0
4,1,0.020454545454545454,0.0
4,2,0.015151515151515152,0.0
4,3,0.006818181818181818,0.0
4,4,0.005303030303030303,0.0
4,5,0.0015151515151515152,0.0
5,0,0.03257575757575758,0.0
5,1,0.014393939393939395,0.0
5,2,0.04393939393939394,0.0
5,3,0.017424242424242425,0.0022727272727272726
5,4,0.030303030303030304,0.0022727272727272726
5,5,0.04393939393939394,0.0030303030303030303
6,0,0.0803030303030303,0.0
6,1,0.019696969696969695,0.0030303030303030303
6,2,0.03787878787878788,0.0030303030303030303
6,3,0.0446969696969697,0.003787878787878788
6,4,0.0446969696969697,0.004545454545454545
6,5,0.04015151515151515,0.006060606060606061
7,0,0.0,0.0
7,1,0.0,0.0
7,2,0.0007575757575757576,0.0
7,3,0.006060606060606061,0.0
7,4,0.02196969696969697,0.0
7,5,0.03787878787878788,0.0
8,0,0.0030303030303030303,0.0
8,1,0.0015151515151515152,0.0
8,2,0.10378787878787879,0.0
8,3,0.11060606060606061,0.004545454545454545
8,4,0.13712121212121212,0.00909090909090909
8,5,0.10075757575757575,0.011363636363636364
9,0,0.013636363636363636,0.0
9,1,0.0,0.0
9,2,0.004545454545454545,0.0
9,3,0.0022727272727272726,0.0
9,4,0.003787878787878788,0.0
9,5,0.006818181818181818,0.0
10,0,0.0007575757575757576,0.0
10,1,0.008333333333333333,0.0
10,2,0.024242424242424242,0.0
10,3,0.037121212121212124,0.0007575757575757576
10,4,0.02803030303030303,0.0015151515151515152
10,5,0.012878787878787878,0.0015151515151515152
11,0,0.041666666666666664,0.0
11,1,0.0893939393939394,0.0
11,2,0.023484848484848483,0.0007575757575757576
11,3,0.058333333333333334,0.0007575757575757576
11,4,0.048484848484848485,0.0022727272727272726
11,5,0.06666666666666667,0.003787878787878788
12,0,0.0007575757575757576,0.0
12,1,0.004545454545454545,0.0
12,2,0.0,0.0
12,3,0.003787878787878788,0.0
12,4,0.0022727272727272726,0.0
12,5,0.014393939393939395,0.0
13,0,0.04696969696969697,0.0
13,1,0.02727272727272727,0.0007575757575757576
13,2,0.045454545454545456,0.0007575757575757576
13,3,0.10757575757575757,0.0007575757575757576
13,4,0.10151515151515152,0.0022727272727272726
13,5,0.13484848484848486,0.004545454545454545
14,0,0.0446969696969697,0.0
14,1,0.05075757575757576,0.004545454545454545
14,2,0.10075757575757575,0.006818181818181818
14,3,0.04924242424242424,0.007575757575757576
14,4,0.05454545454545454,0.009848484848484848
14,5,0.08484848484848485,0.012121212121212121
15,0,0.06666666666666667,0.0
15,1,0.012878787878787878,0.0007575757575757576
15,2,0.035606060606060606,0.0007575757575757576
15,3,0.019696969696969695,0.0015151515151515152
15,4,0.006060606060606061,0.0015151515151515152
15,5,0.03333333333333333,0.0015151515151515152
16,0,0.011363636363636364,0.0007575757575757576
16,1,0.04772727272727273,0.0007575757575757576
16,2,0.0446969696969697,0.0007575757575757576
16,3,0.04772727272727273,0.0022727272727272726
16,4,0.05075757575757576,0.0030303030303030303
16,5,0.06136363636363636,0.0030303030303030303
17,0,0.00909090909090909,0.0
17,1,0.01818181818181818,0.0
17,2,0.03333333333333333,0.0
17,3,0.02803030303030303,0.0
17,4,0.022727272727272728,0.0
17,5,0.011363636363636364,0.0007575757575757576
18,0,0.09621212121212121,0.0
18,1,0.03333333333333333,0.0007575757575757576
18,2,0.007575757575757576,0.0007575757575757576
18,3,0.0030303030303030303,0.0007575757575757576
18,4,0.10227272727272728,0.0007575757575757576
18,5,0.09545454545454546,0.0022727272727272726
19,0,0.011363636363636364,0.0
19,1,0.007575757575757576,0.0
19,2,0.01893939393939394,0.0
19,3,0.04924242424242424,0.0
19,4,0.16136363636363638,0.0022727272727272726
19,5,0.13636363636363635,0.009848484848484848
20,0,0.0,0.0007575757575757576
20,1,0.011363636363636364,0.0007575757575757576
20,2,0.01818181818181818,0.0007575757575757576
20,3,0.016666666666666666,0.0007575757575757576
20,4,0.025757575757575757,0.0007575757575757576
20,5,0.022727272727272728,0.0007575757575757576
21,0,0.012878787878787878,0.0
21,1,0.005303030303030303,0.0
21,2,0.013636363636363636,0.0
21,3,0.022727272727272728,0.0
21,4,0.030303030303030304,0.0
21,5,0.021212121212121213,0.0
22,0,0.0696969696969697,0.0
22,1,0.04924242424242424,0.0007575757575757576
22,2,0.03333333333333333,0.0015151515151515152
22,3,0.03333333333333333,0.0015151515151515152
22,4,0.010606060606060607,0.0015151515151515152
22,5,0.03106060606060606,0.0015151515151515152
23,0,0.0,0.0
23,1,0.0,0.0
23,2,0.014393939393939395,0.0
23,3,0.06818181818181818,0.0
23,4,0.11893939393939394,0.0022727272727272726
23,5,0.14545454545454545,0.005303030303030303
24,0,0.01893939393939394,0.0
24,1,0.007575757575757576,0.0
24,2,0.008333333333333333,0.0
24,3,0.0659090909090909,0.0
24,4,0.025,0.0
24,5,0.019696969696969695,0.0007575757575757576
25,0,0.020454545454545454,0.0
25,1,0.0007575757575757576,0.0007575757575757576
25,2,0.04090909090909091,0.0007575757575757576
25,3,0.02196969696969697,0.0015151515151515152
25,4,0.051515151515151514,0.0015151515151515152
25,5,0.059848484848484845,0.0030303030303030303
26,0,0.0015151515151515152,0.0
26,1,0.02803030303030303,0.0
26,2,0.023484848484848483,0.0
26,3,0.005303030303030303,0.0007575757575757576
26,4,0.005303030303030303,0.0007575757575757576
26,5,0.024242424242424242,0.0007575757575757576
27,0,0.012878787878787878,0.0007575757575757576
27,1,0.025,0.0007575757575757576
27,2,0.03257575757575758,0.0007575757575757576
27,3,0.05606060606060606,0.0007575757575757576
27,4,0.06363636363636363,0.0007575757575757576
27,5,0.03787878787878788,0.0007575757575757576
28,0,0.0,0.0
28,1,0.0022727272727272726,0.0
28,2,0.0,0.0
28,3,0.0015151515151515152,0.0
28,4,0.0,0.0
28,5,0.0030303030303030303,0.0
29,0,0.10303030303030303,0.0
29,1,0.12954545454545455,0.0022727272727272726
29,2,0.04393939393939394,0.006060606060606061
29,3,0.11515151515151516,0.010606060606060607
29,4,0.10757575757575757,0.014393939393939395
29,5,0.07045454545454545,0.017424242424242425
30,0,0.0,0.0
30,1,0.004545454545454545,0.0
30,2,0.0015151515151515152,0.0
30,3,0.0007575757575757576,0.0
30,4,0.006060606060606061,0.0
30,5,0.0030303030303030303,0.0
